cgagne;20;17;7;75
gabylulu;85,14851485148514851485148515;1,00;0;66,666666666666666666666666670
nononix;20;17;7;75
marsace;25,225225225225225225225225230;18,018018018018018018018018020;0;71,428571428571428571428571430
gibbsetzyva;41,322314049586776859504132230;20,247933884297520661157024790;2,0833333333333333333333333300;0
lilive85;20;17;7;75
bouzy79;29,874213836477987421383647800;6,3091482649842271293375394300;1,0101010101010101010101010100;60,0
special__one;38,124238733252131546894031670;11,843711843711843711843711840;16,194331983805668016194331980;57,142857142857142857142857140
mihalovic71;63,930348258706467661691542290;6,7164179104477611940298507500;3,6809815950920245398773006100;46,153846153846153846153846150
woihid;67,871900826446280991735537190;18,503118503118503118503118500;6,301369863013698630136986300;35,897435897435897435897435900
blackout671;20;17;7;75
borhass75;22,674418604651162790697674420;2,9069767441860465116279069800;4,6511627906976744186046511600;100
lepoete01;20;17;7;75
waittheriver;20;17;7;75
p3gazus;28,658536585365853658536585370;14,024390243902439024390243900;0;100
adl75555;20;17;7;75
franckyyyska;45,980707395498392282958199360;9,569892473118279569892473120;2,3569023569023569023569023600;59,090909090909090909090909090
wymyk;20;17;7;75
guessclems;55,063291139240506329113924050;1,2658227848101265822784810100;2,9411764705882352941176470600;66,666666666666666666666666670
ananasdecoeur;20;17;7;75
poli57;20;17;7;75
helboy33;73,513513513513513513513513510;7,5675675675675675675675675700;4,8192771084337349397590361400;63,636363636363636363636363640
p.m.34;20;17;7;75
bastos39000;20;17;7;75
guini60;20;17;7;75
alfat;53,975155279503105590062111800;10,176165803108808290155440410;1,5538290788013318534961154300;68,888888888888888888888888890
lerif;20;17;7;75
looki28;20;17;7;75
tutus7814;20;17;7;75
sctroumpf;84,21052631578947368421052632;3,4791252485089463220675944300;2,6845637583892617449664429500;19,230769230769230769230769230
juju-8z;20;17;7;75
lolomonica;20;17;7;75
guus5777;20;17;7;75
lecoq93;20;17;7;75
polskahooligans;20;17;7;75
ivory1988;20;17;7;75
gent michelle;36,791147994467496542185338870;0,8333333333333333333333333300;0,8968609865470852017937219700;75,00
zebulon999;20;17;7;75
black moustache;20;17;7;75
monvelo;20;17;7;75
brandolph;20;17;7;75
jojo911;20;17;7;75
mmedupond;20;17;7;75
eloi77;59,782608695652173913043478260;9,340659340659340659340659340;5,00;100
yoyo556;20;17;7;75
turbot21;55,862068965517241379310344830;1,3793103448275862068965517200;1,6260162601626016260162601600;60,0
appuy06;20;17;7;75
dangerousss;20;17;7;75
gus24;20;17;7;75
mougy974;20;17;7;75
tommy375;20;17;7;75
sisko111;20;17;7;75
fabiano974;43,532684283727399165507649510;2,2377622377622377622377622400;0;40,0
molinie;42,887029288702928870292887030;5,6722689075630252100840336100;2,0408163265306122448979591800;57,894736842105263157894736840
brunoc92;20;17;7;75
mulozowiz;62,436548223350253807106598980;28,571428571428571428571428570;18,7500;0
blackcard_rs8;50,263157894736842105263157890;15,00;4,1322314049586776859504132200;33,333333333333333333333333330
louuol;50,467289719626168224299065420;2,8037383177570093457943925200;2,3809523809523809523809523800;75,00
cardoso_x;20;17;7;75
mos_t;20,389249304911955514365152920;15,120593692022263450834879410;2,9508196721311475409836065600;73,333333333333333333333333330
canedode;20;17;7;75
kerem1983;20;17;7;75
majoff;20;17;7;75
aureus;20;17;7;75
loudovic86;39,324116743471582181259600610;6,1538461538461538461538461500;0,8130081300813008130081300800;37,500
teixeira197177;20;17;7;75
wooops;17,948717948717948717948717950;11,538461538461538461538461540;2,1276595744680851063829787200;80,0
romano996;65,577889447236180904522613070;25,063291139240506329113924050;12,500;70,0
zizoouu91;20;17;7;75
bilou1906;20;17;7;75
clemjim12;20;17;7;75
diego8444;50,0;18,032786885245901639344262300;8,536585365853658536585365850;57,142857142857142857142857140
ariiston;20;17;7;75
frexflex;20;17;7;75
sopapu;20;17;7;75
chaton22;20;17;7;75
cryptide77;20;17;7;75
eve1986;44,408945686900958466453674120;7,0512820512820512820512820500;1,7391304347826086956521739100;75,00
kristel.nico;20;17;7;75
fidger62;20;17;7;75
dede59554;20;17;7;75
top47aze;62,643678160919540229885057470;9,633911368015414258188824660;5,4054054054054054054054054100;55,00
cr7thebest737;20;17;7;75
totochedu17;20;17;7;75
fodrom;48,101265822784810126582278480;11,392405063291139240506329110;9,195402298850574712643678160;50,0
caramel12;20;17;7;75
ludodu16000;62,264150943396226415094339620;16,037735849056603773584905660;0;0
paco_laco;20;17;7;75
gorickand;65,607734806629834254143646410;8,066759388038942976356050070;5,6603773584905660377358490600;60,0
emilie813346;20;17;7;75
ted-high;24,481327800829875518672199170;5,7082452431289640591966173400;4,0816326530612244897959183700;100
thamoa;20;17;7;75
corbasse;51,700680272108843537414965990;0,6802721088435374149659863900;1,6666666666666666666666666700;100
gilles047;34,579439252336448598130841120;3,7383177570093457943925233600;0;100
jeepi26;48,00;15,00;0;33,333333333333333333333333330
germon99;20;17;7;75
fanou13010;75,675675675675675675675675680;6,769825918762088974854932300;3,5714285714285714285714285700;33,333333333333333333333333330
matgang;20;17;7;75
pelucheb;20;17;7;75
pierrot le fo99;20;17;7;75
daz31;48,431105047748976807639836290;10,547945205479452054794520550;1,6701461377870563674321503100;51,282051282051282051282051280
hervirg;47,101449275362318840579710140;13,043478260869565217391304350;13,888888888888888888888888890;0
ricard57;20;17;7;75
yo_cha59;20;17;7;75
cloclo4933;20;17;7;75
babard50;20;17;7;75
eltornad;20;17;7;75
thierrycu;75,226586102719033232628398790;10,502283105022831050228310500;3,7174721189591078066914498100;45,714285714285714285714285710
lechilien;20;17;7;75
gandia583;20;17;7;75
roga44;62,295081967213114754098360660;6,5573770491803278688524590200;0;55,555555555555555555555555560
vds36;50,0;16,101694915254237288135593220;0;100
mery41;20;17;7;75
jackarr;21,637426900584795321637426900;9,941520467836257309941520470;0;50,0
rachilda;20;17;7;75
mrsrose;65,615462868769074262461851480;1,4242115971515768056968463900;0,2347417840375586854460093900;64,285714285714285714285714290
damelilou;20;17;7;75
orques888;78,00;7,00;4,6511627906976744186046511600;80,0
thefoxisback99;38,775510204081632653061224490;17,808219178082191780821917810;2,5641025641025641025641025600;0
marcoco88;20;17;7;75
iona260112;51,937984496124031007751937980;3,8759689922480620155038759700;3,5714285714285714285714285700;87,500
la soudure 83;80,74074074074074074074074074;27,407407407407407407407407410;5,5555555555555555555555555600;36,363636363636363636363636360
jmgegag;50,331125827814569536423841060;0;0;60,0
romain2008;20;17;7;75
kingkong75091;20;17;7;75
walsch62;20;17;7;75
jeremys07;20;17;7;75
ilex 33;56,767676767676767676767676770;34,959349593495934959349593500;18,248175182481751824817518250;33,333333333333333333333333330
yehouda91;75,147928994082840236686390530;21,893491124260355029585798820;8,333333333333333333333333330;25,00
area333;20;17;7;75
toni 02;20;17;7;75
michael2968;20;17;7;75
david070599;63,716814159292035398230088500;13,392857142857142857142857140;6,5217391304347826086956521700;60,0
yann19;20;17;7;75
maxpearlfidji;42,463235294117647058823529410;18,416206261510128913443830570;5,8823529411764705882352941200;44,444444444444444444444444440
germph;77,936726272352132049518569460;5,4500412881915772089182493800;0,5924950625411454904542462100;57,943925233644859813084112150
kader40;52,542372881355932203389830510;13,559322033898305084745762710;2,8571428571428571428571428600;0
paname1111;20;17;7;75
zopiclone75;51,694915254237288135593220340;2,5423728813559322033898305100;0;100
low97490;20;17;7;75
om1987;20;17;7;75
jmgpaf;20;17;7;75
pat253;76,867469879518072289156626510;3,6319612590799031476997578700;2,9069767441860465116279069800;20,0
meli44melo;20;17;7;75
benjan71570;20;17;7;75
ludivine88;20;17;7;75
thony99;79,600;24,800;4,3478260869565217391304347800;20,0
pacosoria;20;17;7;75
lbedoure;36,271186440677966101694915250;16,628959276018099547511312220;8,300395256916996047430830040;19,230769230769230769230769230
spirou63;66,013071895424836601307189540;4,00;1,5873015873015873015873015900;66,666666666666666666666666670
cocottabless972;20;17;7;75
jg555;20;17;7;75
sebsab810;57,142857142857142857142857140;0;0;0
fripouille50;20;17;7;75
originalcr7;20;17;7;75
johnlewi;20;17;7;75
sidhamed;48,412698412698412698412698410;7,936507936507936507936507940;4,938271604938271604938271600;50,0
tijim;20;17;7;75
random45666;27,458811782326510234648027960;22,877122877122877122877122880;8,067542213883677298311444650;73,913043478260869565217391300
golbourico;20;17;7;75
x-snake11;20;17;7;75
superben;20;17;7;75
manaulot;49,122807017543859649122807020;4,3859649122807017543859649100;0;80,0
ffabb75018;60,878243512974051896207584830;9,800;5,4054054054054054054054054100;50,0
bartuc99;20;17;7;75
